"TERM"	"GENE"
"N0000009371"	"E2F3"
"N0000009371"	"PRCC"
"N0000009371"	"ERO1L"
"N0000009371"	"PTBP2"
"N0000009371"	"KPNA6"
"N0000009371"	"TXNL4B"
"N0000009371"	"WIPF2"
"N0000009371"	"UBE2H"
"N0000009371"	"IL13RA2"
"N0000009371"	"UBR5"
"N0000009371"	"COQ10B"
"N0000009371"	"RIT1"
"N0000009371"	"KAT6A"
"N0000009371"	"BHLHE40"
"N0000009371"	"AHCTF1"
"N0000009371"	"THUMPD2"
"N0000009371"	"RGS2"
"N0000009371"	"RAB21"
"N0000009371"	"CCNL1"
"N0000009371"	"SRSF4"
"N0000009371"	"MAU2"
"N0000009371"	"RRP8"
"N0000009371"	"IGF2BP2"
"N0000009371"	"GPATCH8"
"N0000009371"	"TXNRD1"
"N0000009371"	"KLHL24"
"N0000009371"	"PUM1"
"N0000009371"	"USP12"
"N0000009371"	"NFKBIE"
"N0000009371"	"CLK3"
"N0000009371"	"TRIB1"
"N0000009371"	"ATF3"
"N0000009371"	"BRD1"
"N0000009371"	"PPM1A"
"N0000009371"	"SPAG9"
"N0000009371"	"NFIL3"
"N0000009371"	"STK17B"
"N0000009371"	"IST1"
"N0000009371"	"HERPUD1"
"N0000009371"	"CYP1A1"
"N0000009371"	"RBP4"
"N0000009371"	"FBXL12"
"N0000009371"	"RAPGEF2"
"N0000009371"	"PDHX"
"N0000009371"	"BCL7B"
"N0000009371"	"KDM3A"
"N0000009371"	"KTN1"
"N0000009371"	"BTG3"
"N0000009371"	"PLS1"
"N0000009371"	"HOXA5"
"N0000009371"	"FBXO11"
"N0000009371"	"FEM1B"
"N0000009371"	"DNAJC3"
"N0000009371"	"FKBP14"
"N0000009371"	"JUN"
"N0000009371"	"MAP7D1"
"N0000009371"	"AKAP8L"
"N0000009371"	"CERK"
"N0000009371"	"ZNF274"
"N0000009371"	"MED17"
"N0000009371"	"RHBDF1"
"N0000009371"	"WBP4"
"N0000009371"	"TBPL1"
"N0000009371"	"HECA"
"N0000009371"	"XPO4"
"N0000009371"	"SETD2"
"N0000009371"	"BCAP29"
"N0000009371"	"FAM60A"
"N0000009371"	"KDM5B"
"N0000009371"	"NF1"
"N0000009371"	"INPP1"
"N0000009371"	"HIST2H2BE"
"N0000009371"	"DDX3X"
"N0000009371"	"SWAP70"
"N0000009371"	"EDN1"
"N0000009371"	"NFKBIA"
"N0000009371"	"BSDC1"
"N0000009371"	"KBTBD2"
"N0000009371"	"HES1"
"N0000009371"	"HBB"
"N0000009371"	"PSPC1"
"N0000009371"	"ZFAND3"
"N0000009371"	"OSTM1"
"N0000009371"	"PPP1R15A"
"N0000009371"	"SMAD3"
"N0000009371"	"CDK11A"
"N0000009371"	"RBM5"
"N0000009371"	"NFKBIB"
"N0000009371"	"HIST1H2BE"
"N0000009371"	"AREG"
"N0000009371"	"ZFP36"
"N0000009371"	"TERF2IP"
"N0000009371"	"MARCH7"
"N0000009371"	"ZNF292"
"N0000009371"	"SERINC1"
"N0000009371"	"POLR3F"
"N0000009371"	"INPP4B"
"N0000009371"	"SGCB"
"N0000009371"	"ANKRD12"
"N0000009371"	"IKZF5"
"N0000009371"	"MAFG"
"N0000009371"	"DYRK3"
"N0000009371"	"MKLN1"
"N0000009371"	"ARPP19"
"N0000009371"	"POLR1C"
"N0000009371"	"RSBN1"
"N0000009371"	"PER1"
"N0000009371"	"UBXN7"
"N0000009371"	"GOLT1B"
"N0000009371"	"DMTF1"
"N0000009371"	"IGFBP3"
"N0000009371"	"BTG1"
"N0000009371"	"GABPB1"
"N0000009371"	"UBAP1"
"N0000009371"	"CREBBP"
"N0000009371"	"NXF1"
"N0000009371"	"MBNL2"
"N0000009371"	"KLF7"
"N0000009371"	"GADD45A"
"N0000009371"	"WDR47"
"N0000009371"	"PTPN12"
"N0000009371"	"FOXJ3"
"N0000009371"	"ZNF586"
"N0000009371"	"RCOR3"
"N0000009371"	"DERL1"
"N0000009371"	"HIPK3"
"N0000009371"	"YY1AP1"
"N0000009371"	"NUPL1"
"N0000009371"	"HIST1H2BC"
"N0000009371"	"NFE2L2"
"N0000009371"	"RNMT"
"N0000009371"	"FOS"
"N0000009371"	"PMAIP1"
"N0000009371"	"SYNGR3"
"N0000009371"	"CDK5R1"
"N0000009371"	"TFAP2A"
"N0000009371"	"HIST1H2BH"
"N0000009371"	"COL11A1"
"N0000009371"	"ATP6V0B"
"N0000009371"	"JMJD6"
"N0000009371"	"CGGBP1"
"N0000009371"	"MAFF"
"N0000009371"	"NRAS"
"N0000009371"	"FOXO1"
"N0000009371"	"HMOX1"
"N0000009371"	"AXIN1"
"N0000009371"	"C18orf8"
"N0000009371"	"MTF2"
"N0000009371"	"RCOR1"
"N0000009371"	"CNOT2"
"N0000009371"	"NR3C1"
"N0000009371"	"PRKAG2"
"N0000009371"	"ATXN7"
"N0000009371"	"SNIP1"
"N0000009371"	"YAF2"
"N0000009371"	"CEP350"
"N0000009371"	"CSGALNACT2"
"N0000009371"	"EDEM1"
"N0000009371"	"RSRC2"
"N0000009371"	"FBXW7"
"N0000009371"	"GEM"
"N0000009371"	"SMNDC1"
"N0000009371"	"CRY1"
"N0000009371"	"FNBP4"
"N0000009371"	"NCOA3"
"N0000009371"	"ATG12"
"N0000009371"	"NPC1"
"N0000009371"	"FRS2"
"N0000009371"	"USP15"
"N0000009371"	"CBLL1"
"N0000009371"	"TLK2"
"N0000009371"	"SF3B1"
"N0000009371"	"SNRK"
"N0000009371"	"WDR7"
"N0000009371"	"ATP6V0C"
"N0000009371"	"DYRK1A"
"N0000009371"	"RBM15"
"N0000009371"	"DUSP4"
"N0000009371"	"MBNL1"
"N0000009371"	"GFOD1"
"N0000009371"	"RYBP"
"N0000009371"	"BAMBI"
"N0000009371"	"MAPK1IP1L"
"N0000009371"	"CXCR4"
"N0000009371"	"IER3"
"N0000009371"	"CDK6"
"N0000009371"	"TEX10"
"N0000009371"	"CNOT4"
"N0000009371"	"DNAJB9"
"N0000009371"	"NET1"
"N0000009371"	"ATP1B1"
"N0000009371"	"RIOK3"
"N0000009371"	"EIF1"
"N0000009371"	"MCOLN1"
"N0000009371"	"DCP1A"
"N0000009371"	"RLF"
"N0000000122"	"HTR7"
"N0000000122"	"ADRA1A"
"N0000000122"	"CYP2D6"
"N0000000122"	"ABCB1"
"N0000000122"	"HRH2"
"N0000000122"	"HTR2A"
"N0000000122"	"CYP3A4"
"N0000000122"	"HRH1"
"N0000000122"	"CYP2B6"
"N0000000122"	"ADRA2A"
"N0000175808"	"HPD"
"N0000178478"	"ADRA2B"
"N0000178478"	"ADRB2"
"N0000178478"	"ADRA1A"
"N0000178478"	"ADRA2A"
"N0000178478"	"ADRB3"
"N0000178478"	"ADRB1"
"N0000178478"	"ADRA2C"
"N0000178478"	"ADRA1B"
"N0000178478"	"PAH"
"N0000178478"	"SLC6A2"
"N0000178478"	"DDC"
"N0000178478"	"ADRA1D"
"N0000178478"	"SLC16A10"
"N0000178478"	"SLC22A3"
"N0000178478"	"DRD2"
"N0000178478"	"SLC22A1"
"N0000178478"	"SLC22A5"
"N0000178478"	"POU5F1"
"N0000178478"	"SLC18A2"
"N0000178478"	"CYP1A2"
"N0000178478"	"SLC22A2"
"N0000178478"	"SLC18A1"
"N0000178478"	"MCOLN1"
"N0000175960"	"PNMA2"
"N0000175960"	"RPS4Y1"
"N0000175960"	"DHRS7"
"N0000175960"	"KIF20A"
"N0000175960"	"IKBKB"
"N0000175960"	"ACY1"
"N0000175960"	"SLC22A6"
"N0000175960"	"GRIN2A"
"N0000175960"	"GRIN1"
"N0000175960"	"CHUK"
"N0000175960"	"GRIN3A"
"N0000175960"	"GRIN2D"
"N0000175960"	"GSS"
"N0000175960"	"SLCO1B1"
"N0000175960"	"SLC7A11"
"N0000175960"	"GRIN2B"
"N0000175960"	"UBQLN2"
"N0000175960"	"SERPINA3"
"N0000175960"	"CDK6"
"N0000175379"	"CYP3A4"
"N0000175379"	"P4HA1"
"N0000175379"	"AOC3"
"N0000175379"	"RYR2"
"N0000175379"	"KCNJ1"
"N0000175379"	"PTGS1"
"N0000175379"	"CNPY3"
"N0000175379"	"ABCC9"
"N0000175379"	"CDK6"
"N0000175379"	"KCNJ11"
"N0000000151"	"COTL1"
"N0000000151"	"HACD3"
"N0000000151"	"PIN1"
"N0000000151"	"FMO1"
"N0000000151"	"CYP1A2"
"N0000000151"	"SLC47A1"
"N0000000151"	"CYP11B1"
"N0000000151"	"HRH2"
"N0000000151"	"ABCB11"
"N0000000151"	"SLC22A6"
"N0000000151"	"FMO3"
"N0000000151"	"CYP2D6"
"N0000000151"	"SLC22A2"
"N0000000151"	"CYP2C9"
"N0000000151"	"SLC22A7"
"N0000000151"	"CYP2E1"
"N0000000151"	"SLC22A3"
"N0000000151"	"SLC22A1"
"N0000000151"	"SLC22A4"
"N0000000151"	"ABCB1"
"N0000000151"	"CYP2C19"
"N0000000151"	"CYP3A5"
"N0000000151"	"SLC22A8"
"N0000000151"	"CYP3A7-CYP3A51P"
"N0000000151"	"CYP2C8"
"N0000000151"	"CYP3A4"
"N0000000151"	"SLC22A11"
"N0000000151"	"CYP3A7"
"N0000000151"	"SLC22A5"
"N0000000151"	"DLD"
"N0000000151"	"CCNB2"
"N0000000151"	"BAG3"
"N0000000151"	"PCNA"
"N0000000151"	"TXNDC9"
"N0000000151"	"RPS4Y1"
"N0000000151"	"E2F2"
"N0000000151"	"IFNAR1"
"N0000000151"	"EIF4EBP1"
"N0000000151"	"CCND1"
"N0000000151"	"ANO10"
"N0000000151"	"GAA"
"N0000000151"	"RPA3"
"N0000000151"	"PFKL"
"N0000000151"	"COX7A2"
"N0000000151"	"SKIV2L"
"N0000000151"	"RPS27L"
"N0000000151"	"PPP1R14B"
"N0000000151"	"PCM1"
"N0000000151"	"NUP85"
"N0000000151"	"CSRP1"
"N0000000151"	"USP22"
"N0000000151"	"CTSL"
"N0000000151"	"IMPA1"
"N0000000151"	"RNASEH2A"
"N0000000151"	"COX8A"
"N0000000151"	"YIF1A"
"N0000000151"	"LYPLA1"
"N0000000151"	"MIF"
"N0000000151"	"FABP5"
"N0000000151"	"ANXA5"
"N0000000151"	"TNIP1"
"N0000000151"	"B4GAT1"
"N0000000151"	"EBNA1BP2"
"N0000000151"	"SCAND1"
"N0000000151"	"PLK1"
"N0000000151"	"LAGE3"
"N0000000151"	"TOMM34"
"N0000000151"	"KIF14"
"N0000000151"	"EBP"
"N0000000151"	"SLC35F2"
"N0000000151"	"CHEK2"
"N0000000151"	"TLE1"
"N0000000151"	"ACOT9"
"N0000000151"	"HSD17B10"
"N0000000151"	"PGAM1"
"N0000000151"	"NOSIP"
"N0000000151"	"SRC"
"N0000000151"	"GNPDA1"
"N0000000151"	"TXLNA"
"N0000000151"	"MFSD10"
"N0000000151"	"PSMD9"
"N0000000151"	"MTHFD2"
"N0000000151"	"ATP6V0B"
"N0000000151"	"PSMG1"
"N0000000151"	"TIMM9"
"N0000000151"	"BZW2"
"N0000000151"	"PRDX4"
"N0000000151"	"PUF60"
"N0000000151"	"RBM34"
"N0000000151"	"IFRD2"
"N0000000151"	"CXCL2"
"N0000000151"	"MCUR1"
"N0000000151"	"CDCA4"
"N0000000151"	"TSPAN3"
"N0000000151"	"SEC61A1"
"N0000000151"	"SQSTM1"
"N0000000151"	"ATP5G1"
"N0000000151"	"RPP38"
"N0000000151"	"SLIRP"
"N0000000151"	"SGCB"
"N0000000151"	"DECR1"
"N0000000151"	"CDKN1B"
"N0000000151"	"ICAM3"
"N0000000151"	"MRPS16"
"N0000000151"	"SLC35B1"
"N0000000151"	"BCHE"
"N0000000151"	"SPAG4"
"N0000000151"	"HLA-DRA"
"N0000000151"	"RAB27A"
"N0000000151"	"IPO13"
"N0000000151"	"HIST2H2BE"
"N0000000151"	"DFFB"
"N0000000151"	"PCK2"
"N0000000151"	"BUB1B"
"N0000000151"	"CXCR4"
"N0000000151"	"ATP11B"
"N0000000151"	"NCAPD2"
"N0000000151"	"MAP7"
"N0000000151"	"NFKBIE"
"N0000000151"	"KRT6A"
"N0000000151"	"ZNF274"
"N0000000151"	"ZFP36"
"N0000000151"	"HS2ST1"
"N0000000151"	"PAK1"
"N0000000151"	"FZD1"
"N0000000151"	"SNX13"
"N0000000151"	"WDR7"
"N0000000151"	"TIMELESS"
"N0000000151"	"RBM15B"
"N0000000151"	"COL11A1"
"N0000000151"	"BMP4"
"N0000000151"	"SLC27A3"
"N0000000151"	"FGFR2"
"N0000000151"	"CTNND1"
"N0000000151"	"DNMT1"
"N0000000151"	"TBXA2R"
"N0000000151"	"NARFL"
"N0000000151"	"PRR15L"
"N0000000151"	"FSD1"
"N0000000151"	"PTGS2"
"N0000000151"	"CASP10"
"N0000000151"	"PIK3CA"
"N0000000151"	"HBB"
"N0000000151"	"HAT1"
"N0000000151"	"ACAT2"
"N0000000151"	"RPN1"
"N0000000151"	"KRT8"
"N0000000151"	"SDC1"
"N0000000151"	"CYCS"
"N0000000151"	"GPATCH8"
"N0000000151"	"POP4"
"N0000007780"	"TCFL5"
"N0000007780"	"TOMM70A"
"N0000007780"	"NISCH"
"N0000007780"	"CCNE2"
"N0000007780"	"AP3M2"
"N0000007780"	"TMEM106C"
"N0000007780"	"HMGA2"
"N0000007780"	"RPA1"
"N0000007780"	"DUT"
"N0000007780"	"PRKDC"
"N0000007780"	"LRPPRC"
"N0000007780"	"KIF11"
"N0000007780"	"ADH5"
"N0000007780"	"GNPDA1"
"N0000007780"	"SLC5A6"
"N0000007780"	"DNMT1"
"N0000007780"	"KIAA0907"
"N0000007780"	"PRIM1"
"N0000007780"	"RFC5"
"N0000007780"	"PAPSS2"
"N0000007780"	"TMEM168"
"N0000007780"	"THTPA"
"N0000007780"	"C1S"
"N0000007780"	"ASF1B"
"N0000007780"	"HMG20A"
"N0000007780"	"TYMS"
"N0000007780"	"HSPA1A"
"N0000007780"	"MRPL12"
"N0000007780"	"GMNN"
"N0000007780"	"FIS1"
"N0000007780"	"CLTC"
"N0000007780"	"CGREF1"
"N0000007780"	"PSMB10"
"N0000007780"	"EAPP"
"N0000007780"	"ABCF3"
"N0000007780"	"MSH2"
"N0000007780"	"MNS1"
"N0000007780"	"MYCBP2"
"N0000007780"	"RAD1"
"N0000007780"	"C5"
"N0000007780"	"ZWINT"
"N0000007780"	"ALG8"
"N0000007780"	"STAT1"
"N0000007780"	"TENM4"
"N0000007780"	"SHMT1"
"N0000007780"	"WDR5B"
"N0000007780"	"NCAPD3"
"N0000007780"	"PSIP1"
"N0000007780"	"SNX5"
"N0000007780"	"ICAM3"
"N0000007780"	"EIF2AK2"
"N0000007780"	"UCP2"
"N0000007780"	"MAD2L1"
"N0000007780"	"HAT1"
"N0000007780"	"UBE2C"
"N0000007780"	"FANCI"
"N0000007780"	"UBQLN2"
"N0000007780"	"ABHD10"
"N0000007780"	"ATP5G2"
"N0000007780"	"THEM6"
"N0000007780"	"EED"
"N0000007780"	"CCDC85B"
"N0000007780"	"TP53BP1"
"N0000007780"	"TOPBP1"
"N0000007780"	"HES1"
"N0000007780"	"TMED10"
"N0000007780"	"FANCG"
"N0000007780"	"DNA2"
"N0000007780"	"TKFC"
"N0000007780"	"POLA1"
"N0000007780"	"IKBKAP"
"N0000007780"	"BBS1"
"N0000007780"	"CDK4"
"N0000007780"	"PAAF1"
"N0000007780"	"AGL"
"N0000007780"	"CNNM3"
"N0000007780"	"MLEC"
"N0000007780"	"POLR3B"
"N0000007780"	"MPC2"
"N0000007780"	"PIGN"
"N0000007780"	"FGFR4"
"N0000007780"	"PSMG1"
"N0000007780"	"ZMYM3"
"N0000007780"	"NAT10"
"N0000007780"	"CDC7"
"N0000007780"	"TOP2A"
"N0000007780"	"G3BP1"
"N0000007780"	"XBP1"
"N0000007780"	"UBR7"
"N0000007780"	"EZH2"
"N0000007780"	"CPNE3"
"N0000007780"	"CDK1"
"N0000007780"	"GCDH"
"N0000007780"	"RNASE4"
"N0000007780"	"NUP133"
"N0000007780"	"TMEM109"
"N0000007780"	"ALDH5A1"
"N0000007780"	"DSCC1"
"N0000007780"	"PRCP"
"N0000007780"	"RWDD2B"
"N0000007780"	"CRYL1"
"N0000007780"	"KLHDC2"
"N0000007780"	"BNIP3"
"N0000007780"	"NIPSNAP1"
"N0000007780"	"MCM10"
"N0000007780"	"ADCK3"
"N0000007780"	"FEN1"
"N0000007780"	"COG2"
"N0000007780"	"FAH"
"N0000007780"	"OXA1L"
"N0000007780"	"THAP11"
"N0000007780"	"C2CD5"
"N0000007780"	"HOXC4"
"N0000007780"	"LSM6"
"N0000007780"	"PIK3R4"
"N0000007780"	"BRIP1"
"N0000007780"	"FZD7"
"N0000007780"	"MCM2"
"N0000007780"	"NUSAP1"
"N0000007780"	"NPAT"
"N0000007780"	"C3"
"N0000007780"	"POLQ"
"N0000007780"	"COPS7A"
"N0000007780"	"IARS2"
"N0000007780"	"GAMT"
"N0000007780"	"KBTBD4"
"N0000007780"	"AURKB"
"N0000007780"	"CAT"
"N0000007780"	"ACAA1"
"N0000007780"	"PEX11B"
"N0000007780"	"RCL1"
"N0000007780"	"UBE2A"
"N0000007780"	"FZD4"
"N0000007780"	"TSPAN6"
"N0000007780"	"MELK"
"N0000007780"	"CHEK2"
"N0000007780"	"EHHADH"
"N0000007780"	"TPI1"
"N0000007780"	"RAD9A"
"N0000007780"	"SLC11A2"
"N0000007780"	"SUPT16H"
"N0000007780"	"NUDT6"
"N0000007780"	"CEBPA"
"N0000007780"	"HACD3"
"N0000007780"	"PRUNE"
"N0000007780"	"BRIX1"
"N0000007780"	"PCCB"
"N0000007780"	"AKR7A2"
"N0000007780"	"BAMBI"
"N0000007780"	"HS2ST1"
"N0000007780"	"SPR"
"N0000007780"	"LAGE3"
"N0000007780"	"CFI"
"N0000007780"	"CSE1L"
"N0000007780"	"RMI1"
"N0000007780"	"TOR3A"
"N0000007780"	"PEG10"
"N0000007780"	"PGM1"
"N0000007780"	"RPS4Y1"
"N0000007780"	"SUZ12"
"N0000007780"	"PATZ1"
"N0000007780"	"HLTF"
"N0000007780"	"LIG1"
"N0000007780"	"SMARCA2"
"N0000007780"	"KAT6A"
"N0000007780"	"IMP3"
"N0000007780"	"SLC37A4"
"N0000007780"	"SCP2"
"N0000007780"	"MCM5"
"N0000007780"	"AKR1C3"
"N0000007780"	"EML3"
"N0000007780"	"ABCB6"
"N0000007780"	"NSL1"
"N0000007780"	"DERA"
"N0000007780"	"PECR"
"N0000007780"	"RAD51AP1"
